id_replic,replic,html_text,sentiment
40,"Э, Миша, что было, то быльем поросло.","Э, Миша, что было, то быльем поросло.",sadness
41,Вы заслужите. ,Вы заслужите. <i>— Он опять рванулся ко мне всем корпусом и поднял было палец.</i>,anger
42,"Тем, верная моя, что всей аристократии души твоей не постигал доселе.","Тем, верная моя, что всей аристократии души твоей не постигал доселе.",neutral
43,«Опрокидонт»!.. ха-ха! По-каковски же это?,«Опрокидонт»!.. ха-ха! По-каковски же это?,joy
44,"Гусев, твой командир крал?","Гусев, твой командир крал?",neutral
45,"Какие там города! Там война теперь идет; теперь там, я думаю, куда ни поди, все из пушек стреляют... Скоро ты ехать собираешься?","Какие там города! Там война теперь идет; теперь там, я думаю, куда ни поди, все из пушек стреляют... Скоро ты ехать собираешься?",sadness
46,"Удивительный осел этот граф! Пишет мне, что уезжает на днях в Италию, а не дает никаких распоряжений относительно вас. Куда мне вас девать? Водку вами закусывать, что ли? И на чертей ему дался этот уголь! Уголь ему нужен так же, как мне ваша физиономия, черт его возьми! И вы тоже хороши, нечего сказать! Глупый, объевшийся баловень наболтал вам от нечего делать, а вы ему поверили!","Удивительный осел этот граф! <i>— сказал он, хлопая фуражкой о край стола. — </i>Пишет мне, что уезжает на днях в Италию, а не дает никаких распоряжений относительно вас. Куда мне вас девать? Водку вами закусывать, что ли? И на чертей ему дался этот уголь! Уголь ему нужен так же, как мне ваша физиономия, черт его возьми! И вы тоже хороши, нечего сказать! Глупый, объевшийся баловень наболтал вам от нечего делать, а вы ему поверили!",disgust
47,"Клюет! Смотри же, Петровна, как только заговорят о чувствах, тотчас же снимай со стены образ и идем благословлять... Накроем... Благословение образом свято и ненарушимо... Не отвертится тогда, пусть хоть в суд подает.","Клюет! <i>— шептал Пеплов, дрожа от нетерпения и потирая руки. — </i>Смотри же, Петровна, как только заговорят о чувствах, тотчас же снимай со стены образ и идем благословлять... Накроем... Благословение образом свято и ненарушимо... Не отвертится тогда, пусть хоть в суд подает.",joy
48,Второй пункт: ненавижу клубничку и клубничников. И особенно клубничников!,Второй пункт: ненавижу клубничку и клубничников. И особенно клубничников!,disgust
49,Расчухали наконец! ,Расчухали наконец! <i>— радуется и жена.</i>,joy
50,Лестницу! Лестницу несите! ,Лестницу! Лестницу несите! <i>— обратился Слёткин к прочим крестьянам.</i>,fear
51,"Страшно! не за них страшно (les pauvres, elles ont l’air si content en debitant leurs mesquineries, qu’il serait inutile de les plaindre!), но за женщину!","Страшно! <i>— продолжал он между тем, — </i>не за них страшно (les pauvres, elles ont l’air si content en debitant leurs mesquineries, qu’il serait inutile de les plaindre!), но за женщину!",fear
52,И я то же говорю! ,И я то же говорю! <i>— прокричал вдруг мальчик Смуров.</i>,anger
53,Пулярка — это правильнее.,Пулярка — это правильнее.,neutral
54,"Бабушке? зачем! Подумай, какие последствия... Что будет с ней?.. Не лучше ли скрыть все?","Бабушке? зачем! <i>— едва выговорил он от страха. — </i>Подумай, какие последствия... Что будет с ней?.. Не лучше ли скрыть все?",fear
55,"Я вас попрошу никогда не делать мне подобных предложений, ","Я вас попрошу никогда не делать мне подобных предложений, <i>— рванул я вдруг.</i>",anger
56,"Другие все уже вотировали этот вопрос в экстренном заседании, ","Другие все уже вотировали этот вопрос в экстренном заседании, <i>— отвечал Белоярцев и, изменив тон в еще более ласковый, благодарил Лизу за ее внимание к его просьбе.</i>",neutral
57,"Здесь хорошо, тепло и деревья богатые. Это я люблю! Наши дома? Генерал?","Здесь хорошо, <i>— сказала бабушка, озираясь, — </i>тепло и деревья богатые. Это я люблю! Наши дома? Генерал?",joy
58,"Ты не в постели? Вот чудо! Пора, Алексей Александрович, — проговорила она из-за двери.","Ты не в постели? Вот чудо! <i>— сказала она, скинула башлык и, не останавливаясь, пошла дальше, в уборную. — </i>Пора, Алексей Александрович, — проговорила она из-за двери.",joy
59,"Когда стара буду и дурна, я сделаюсь такая же, но для вас, для молодой, хорошенькой женщины, еще рано в эту богадельню.","Когда стара буду и дурна, я сделаюсь такая же, <i>— говорила Бетси, — </i>но для вас, для молодой, хорошенькой женщины, еще рано в эту богадельню.",neutral
60,"Да... ведь говорят... в Москве мастерские идут, ","Да... ведь говорят... в Москве мастерские идут, <i>— заметила Данка.</i>",neutral
61,Эй! воротить его! ,Эй! воротить его! <i>— крикнул он.</i>,anger
62,"Извольте!.. Еще как и молюсь! И батюшке все говорила, и он все, все, все мне разъяснил, как это и называется, что блюд и что преблюдеяние, но все это ничего не значит! Встань, пожалуйста, на стул — задерни занавеской заступницу.","Извольте!.. Еще как и молюсь! И батюшке все говорила, и он все, все, все мне разъяснил, как это и называется, что блюд и что преблюдеяние, но все это ничего не значит! Встань, пожалуйста, на стул — задерни занавеской заступницу.",anger
63,"Да, плакала... Мне Егоровна сказала, и глаза у ней такие красные, так они и распухли...","Да, плакала... Мне Егоровна сказала, и глаза у ней такие красные, так они и распухли...",neutral
64,"Мосье Енот, сколько у нас в уезде больниц?","Мосье Енот, <i>— обратился я к доктору, — </i>сколько у нас в уезде больниц?",neutral
65,"Погоди, может быть, и уснем.","Погоди, может быть, и уснем.",neutral
66,"Это еще не доказательство сумасшествия. Помните, что и того, у кого у первого родилась идея о силе пара, тоже посадили за нее в сумасшедший дом, ","Это еще не доказательство сумасшествия. Помните, что и того, у кого у первого родилась идея о силе пара, тоже посадили за нее в сумасшедший дом, <i>— заметил Марк.</i>",neutral
67,Что же мне тут делать? Что вы мне посоветуете? Не могу же я получать эти письма!,Что же мне тут делать? Что вы мне посоветуете? Не могу же я получать эти письма!,fear
68,"Ну, а насчет приданого узнал?","Ну, а насчет приданого узнал?",neutral
69,"Именно оттого, что знаю вас, и приглашаю вас завтра, Я вас совершенно знаю. Но, смотрите, приходите с условием; во-первых (только будьте добры, исполните, что я попрошу, — видите ли, я говорю откровенно), не влюбляйтесь в меня... Это нельзя, уверяю вас. На дружбу я готова, вот вам рука моя... А влюбиться нельзя, прошу вас!","Именно оттого, что знаю вас, и приглашаю вас завтра, <i>— сказала смеясь девушка. — </i>Я вас совершенно знаю. Но, смотрите, приходите с условием; во-первых (только будьте добры, исполните, что я попрошу, — видите ли, я говорю откровенно), не влюбляйтесь в меня... Это нельзя, уверяю вас. На дружбу я готова, вот вам рука моя... А влюбиться нельзя, прошу вас!",joy
70,"Что твоей милости, сударь?","Что твоей милости, сударь?",neutral
71,Да чем же я показал тебе это? ,Да чем же я показал тебе это? <i>— с искренним испугом и удивлением спросил он.</i>,fear
72,"Ну, это старая песня; я много слыхала про эти невмешательства и не очень их почитаю. Нет, вмешивайся; если кому желаешь добра, так вмешивайся. А он мне просто жалости достоин.","Ну, это старая песня; я много слыхала про эти невмешательства и не очень их почитаю. Нет, вмешивайся; если кому желаешь добра, так вмешивайся. А он мне просто жалости достоин.",neutral
73,"Твоя, твоя, Чепкуи, кобылица: садись, гони, на ней отдыхай.","Твоя, твоя, Чепкуи, кобылица: садись, гони, на ней отдыхай.",neutral
74," Антонио, куда ты меня везешь? Ты смотришь злым гением... В твоих черных глазах светится ад... Я начинаю бояться..."," Антонио, куда ты меня везешь? <i>— простонал Теодор. — </i>Ты смотришь злым гением... В твоих черных глазах светится ад... Я начинаю бояться...",fear
75,Да что ж такое? Ну что ж с нами сделается?,Да что ж такое? Ну что ж с нами сделается?,fear
76,Господи! Да неужели он и тут не оставит Дунечку в покое? ,Господи! Да неужели он и тут не оставит Дунечку в покое? <i>— вскрикнула Пульхерия Александровна.</i>,surprise
77,"С удовольствием, все, что могу...","С удовольствием, все, что могу...",joy
78,"Отнести ее вон, Скверная собачонка! какая она злая!","Отнести ее вон, <i>— проговорила изменившимся голосом старуха. — </i>Скверная собачонка! какая она злая!",disgust
79,"Может быть, это к лучшему. Вы мне должны простить многое. Я должен сказать вам...","Может быть, это к лучшему. Вы мне должны простить многое. Я должен сказать вам...",neutral
80,"Право, ты такая красавица!","Право, ты такая красавица!",joy
81,Вы! какими судьбами?,Вы! какими судьбами?,joy
82,"Что правда, то правда, вы никого не обманываете.","Что правда, то правда, вы никого не обманываете.",neutral
83,"Позвольте узнать, кто здесь господин Ноздрев? ","Позвольте узнать, кто здесь господин Ноздрев? <i>— сказал незнакомец, посмотревши в некотором недоумении на Ноздрева, который стоял с чубуком в руке, и на Чичикова, который едва начинал оправляться от своего невыгодного положения.</i>",neutral
84,"Ну да, конечно, весь интерес в ней соединился. Все дело в наследстве! Объявится наследство, и генерал женится; мисс Полина будет тоже развязана, а Де-Грие...","Ну да, конечно, весь интерес в ней соединился. Все дело в наследстве! Объявится наследство, и генерал женится; мисс Полина будет тоже развязана, а Де-Грие...",neutral
85,"Да, я чувствую сегодня и вчера сильные боли в ногах и ночью мало спал...","Да, я чувствую сегодня и вчера сильные боли в ногах и ночью мало спал...",neutral
86,"Да; еще и любит; а он одно что знает, — все про свободу ей!","Да; еще и любит; а он одно что знает, — все про свободу ей!",neutral
87,"Послушайте, князь, успокойтесь, пожалуйста; я вижу, что вы чем дальше, тем больше в волнении, а между тем все это, может быть, лишь мираж. О, я затянулся и сам, непростительно, подло; но ведь я знаю, что это только временное... и только бы мне отыграть известную цифру, и тогда скажите, я вам должен с этими тремя стами до двух тысяч пятисот, так ли?","Послушайте, князь, успокойтесь, пожалуйста; я вижу, что вы чем дальше, тем больше в волнении, а между тем все это, может быть, лишь мираж. О, я затянулся и сам, непростительно, подло; но ведь я знаю, что это только временное... и только бы мне отыграть известную цифру, и тогда скажите, я вам должен с этими тремя стами до двух тысяч пятисот, так ли?",fear
88,А такое слово... вор!!,А такое слово... вор!!,disgust
89,"И тогда у нас отнимут и то, что мы в настоящее время имеем.","И тогда у нас отнимут и то, что мы в настоящее время имеем.",neutral
90,"Нет, Я так глаза заплющил, да голову поклал, да и сидел.","Нет, <i>— отвечал сонный Ермошка. — </i>Я так глаза заплющил, да голову поклал, да и сидел.",neutral
91,"Да не ходите, я сам...","Да не ходите, <i>— проговорил сердито больной, — </i>я сам...",anger
92,"Ну, еще одну карточку.","Ну, еще одну карточку.",neutral
93,А давеча Михею Андреичу какие деньги отдавали? ,А давеча Михею Андреичу какие деньги отдавали? <i>— напомнил Захар.</i>,neutral
94,"Я напоила ее теплым и завтра не пущу гулять, а там посмотрим! ","Я напоила ее теплым и завтра не пущу гулять, а там посмотрим! <i>— отвечала она монотонно.</i>",neutral
95,"Нет, ваше благородие, нам в мнениях наших начальников произойти невозможно... Да хоша бы я и могла знать, так, значит, никакой для себя пользы из этого не угадала, почему как ваше благородие сами видели, в каких меня делах застали.","Нет, ваше благородие, нам в мнениях наших начальников произойти невозможно... Да хоша бы я и могла знать, так, значит, никакой для себя пользы из этого не угадала, почему как ваше благородие сами видели, в каких меня делах застали.",neutral
96,Да мы и то крошечку... об Шнейдерше чуть-чуть вспомнили!,Да мы и то крошечку... об Шнейдерше чуть-чуть вспомнили!,neutral
97,Не хочу больше. Тимохин тут? ,Не хочу больше. Тимохин тут? <i>— спросил он. Тимохин подполз к нему по лавке.</i>,neutral
98,"Да, письменно. Кстати, я вас попрошу изложить мне также свои соображения...насчет...насчет ассоциаций.","Да, письменно. Кстати, я вас попрошу изложить мне также свои соображения...насчет...насчет ассоциаций.",neutral
99,Да где же он?,Да где же он?,anger
100,"Да ведь вот то-то и есть несчастье Польши, что она России не знает и не понимает.","Да ведь вот то-то и есть несчастье Польши, что она России не знает и не понимает.",neutral
101,"Сейчас. Нашел было портфель, да опять потерял.","Сейчас. Нашел было портфель, да опять потерял.",neutral
102,Больше я нынче этими штрафами на них действую! потому что для них это понятнее.,"Больше я нынче этими штрафами на них действую! <i>— говорит помещик соседям своим, — </i>потому что для них это понятнее.",neutral
103,"Да не я, князь, сами лезли.","Да не я, князь, <i>— улыбаясь, сказал Полторацкий, — </i>сами лезли.",neutral
104,"Что за прелесть, этот папа! ","Что за прелесть, этот папа! <i>— проговорила она, целуя его, и она опять взглянула на Пьера с тем бессознательным кокетством, которое вернулось к ней вместе с ее оживлением.</i>",joy
105,"Еще неизвестно, как губернское начальство посмотрит! с следующей же почтой запросца надо ожидать-с!","Еще неизвестно, как губернское начальство посмотрит! <i>— благоразумно увещевал стряпчий, — </i>с следующей же почтой запросца надо ожидать-с!",fear
106,А ты с фактами обращаться умеешь?,А ты с фактами обращаться умеешь?,neutral
107,"Я в самом деле нашел, что это справедливо и что у такой женщины, как Лара, любви надо добиваться. Но чтобы добиваться ее, значит жертвовать своими убеждениями, свободой мысли, свободой отношений к честным людям, а я этим жертвовать не могу, потому что тогда во мне не осталось бы ничего.","Я в самом деле нашел, что это справедливо и что у такой женщины, как Лара, любви надо добиваться. Но чтобы добиваться ее, значит жертвовать своими убеждениями, свободой мысли, свободой отношений к честным людям, а я этим жертвовать не могу, потому что тогда во мне не осталось бы ничего.",neutral
108,Пошел! ,Пошел! <i>— злобно крикнул кучеру Иван Федорович.</i>,anger
109,"Выпьем! выпьем, брат, потому что уж такая мне вышла линия! Нет, Петя, мне счастья! счастье-то мое, видно, еще в ту пору, как я младенцем был, собаки съели!","Выпьем! выпьем, брат, потому что уж такая мне вышла линия! Нет, Петя, мне счастья! счастье-то мое, видно, еще в ту пору, как я младенцем был, собаки съели!",sadness
110,"О, какой вздор! Не говорите этого, пожалуйста! ","О, какой вздор! Не говорите этого, пожалуйста! <i>— сказала она, поспешно перебивая меня и вся вспыхнув.</i>",fear
111,"На Курильских островах и церкви нет, ","На Курильских островах и церкви нет, <i>— заметил докладывающий.</i>",neutral
112,"Ну, говорю, неведомо, много ли дали бы. Может, и трехрублевый бы дали, Емельян Ильич.","Ну, говорю, неведомо, много ли дали бы. Может, и трехрублевый бы дали, Емельян Ильич.",neutral
113,"Это вряд ли в наше время возможно, В Апокалипсисе ангел клянется, что времени больше не будет.","Это вряд ли в наше время возможно, <i>— тоже без всякой иронии отозвался Николай Всеволодович, медленно и как бы задумчиво. — </i>В Апокалипсисе ангел клянется, что времени больше не будет.",neutral
114,Это видно из подписных листов.,Это видно из подписных листов.,neutral
115,"Что вы, граф!.. помилуйте... Вот никогда этого от вас не ожидала.","Что вы, граф!.. помилуйте... Вот никогда этого от вас не ожидала.",surprise
116,"Кунак Воронцов пешкеш, Хороший человек.","Кунак Воронцов пешкеш, <i>— сказал он, улыбаясь. — </i>Хороший человек.",joy
117,"Неужели ты думаешь, что он может выздороветь? ","Неужели ты думаешь, что он может выздороветь? <i>— сказал Левин, глядя на постоянно закрывавшийся, как только она вперед проводила гребень, узкий ряд назади ее круглой головки.</i>",surprise
118,"Да-с, и в Петербурге служил.","Да-с, и в Петербурге служил.",neutral
119,"Ах, нет! Ну, прости, прости меня, если я огорчил тебя, но я все-таки, как посол, только передавал свое поручение.","Ах, нет! Ну, прости, прости меня, если я огорчил тебя, <i>— сконфуженно улыбаясь, заговорил Степан Аркадьич, протягивая руку, — </i>но я все-таки, как посол, только передавал свое поручение.",sadness
120,"Нет, я все вижу, я все вижу. Я прежде для тебя не была глупа.","Нет, я все вижу, я все вижу. Я прежде для тебя не была глупа.",neutral
121,"Это винт! он сверлит мою душу и сердце! Он хочет, чтоб я атеизму поверил! Знай, молокосос, что еще ты не родился, а я уже был осыпан почестями; а ты только завистливый червь, перерванный надвое, с кашлем... и умирающий от злобы и от неверия... И зачем тебя Гаврила перевел сюда? Все на меня, от чужих до родного сына!","Это винт! <i>— кричал генерал: — </i>он сверлит мою душу и сердце! Он хочет, чтоб я атеизму поверил! Знай, молокосос, что еще ты не родился, а я уже был осыпан почестями; а ты только завистливый червь, перерванный надвое, с кашлем... и умирающий от злобы и от неверия... И зачем тебя Гаврила перевел сюда? Все на меня, от чужих до родного сына!",disgust
122,Как так — ненастоящий?,Как так — ненастоящий?,surprise
123,"Пойдемте поскорее, Я не желаю, чтобы Родион Романыч знал о нашем свидании. Предупреждаю вас, что я с ним сидел тут недалеко, в трактире, где он отыскал меня сам, и насилу от него отвязался. Он знает почему-то о моем к вам письме и что-то подозревает. Уж, конечно, не вы ему открыли? А если не вы, так кто же?","Пойдемте поскорее, <i>— прошептал ей Свидригайлов. — </i>Я не желаю, чтобы Родион Романыч знал о нашем свидании. Предупреждаю вас, что я с ним сидел тут недалеко, в трактире, где он отыскал меня сам, и насилу от него отвязался. Он знает почему-то о моем к вам письме и что-то подозревает. Уж, конечно, не вы ему открыли? А если не вы, так кто же?",fear
124,"Позвольте спросить, не объявляли ли вы хоть кому-нибудь об этом обстоятельстве прежде... то есть что полторы эти тысячи оставили тогда же, месяц назад, при себе?","Позвольте спросить, <i>— проговорил наконец прокурор, — </i>не объявляли ли вы хоть кому-нибудь об этом обстоятельстве прежде... то есть что полторы эти тысячи оставили тогда же, месяц назад, при себе?",neutral
125,"Большое, Иван Иванович, я умру!","Большое, Иван Иванович, я умру!",fear
126,"Ни за что! нате, щупайте, смотрите, а ни за что вам не оставлю!","Ни за что! <i>— вскрикнул я, — </i>нате, щупайте, смотрите, а ни за что вам не оставлю!",anger
127,"И сегодня не сговорите, и завтра не сговорите... никогда! Будет! повластвовали! Наслушалась я довольно; послушайте теперь вы, каковы мои слова будут!","И сегодня не сговорите, и завтра не сговорите... никогда! Будет! повластвовали! Наслушалась я довольно; послушайте теперь вы, каковы мои слова будут!",anger
128,"Как? Так вот ка-а-к-с! так так-то-с! Но знаете ли, Авдотья Романовна, что я мог бы и протестовать-с.","Как? Так вот ка-а-к-с! <i>— вскричал Лужин, совершенно не веровавший, до последнего мгновения, такой развязке, а потому совсем потерявший теперь нитку, — </i>так так-то-с! Но знаете ли, Авдотья Романовна, что я мог бы и протестовать-с.",surprise
129,"А таким, что купят они ее — эту самую землю.","А таким, что купят они ее — эту самую землю.",neutral
130,"Ну, так я вам скажу: потому что она любит Ларису.","Ну, так я вам скажу: потому что она любит Ларису.",neutral
