id_replic,sentiment_old,sentiment,check,html_text,text,text_len
99,neutral,neutral,1,"Нынче у меня Зейфер был: он рассказывал, что перешли вчера на пятый бастион.","Нынче у меня Зейфер был: он рассказывал, что перешли вчера на пятый бастион.",13
3161,neutral,neutral,1,"Ну, так ты решительно хочешь, чтоб я уехал?","Ну, так ты решительно хочешь, чтоб я уехал?",8
27,sadness,sadness,1,"Э, Миша, что было, то быльем поросло.","Э, Миша, что было, то быльем поросло.",7
985,anger,anger,1,Вы заслужите. <i>— Он опять рванулся ко мне всем корпусом и поднял было палец.</i>,Вы заслужите. ,2
2140,neutral,neutral,1,"Тем, верная моя, что всей аристократии души твоей не постигал доселе.","Тем, верная моя, что всей аристократии души твоей не постигал доселе.",11
1024,joy,joy,1,«Опрокидонт»!.. ха-ха! По-каковски же это?,«Опрокидонт»!.. ха-ха! По-каковски же это?,5
44,neutral,neutral,1,"Гусев, твой командир крал?","Гусев, твой командир крал?",4
788,sadness,sadness,1,"Какие там города! Там война теперь идет; теперь там, я думаю, куда ни поди, все из пушек стреляют... Скоро ты ехать собираешься?","Какие там города! Там война теперь идет; теперь там, я думаю, куда ни поди, все из пушек стреляют... Скоро ты ехать собираешься?",22
6,disgust,disgust,1,"Удивительный осел этот граф! <i>— сказал он, хлопая фуражкой о край стола. — </i>Пишет мне, что уезжает на днях в Италию, а не дает никаких распоряжений относительно вас. Куда мне вас девать? Водку вами закусывать, что ли? И на чертей ему дался этот уголь! Уголь ему нужен так же, как мне ваша физиономия, черт его возьми! И вы тоже хороши, нечего сказать! Глупый, объевшийся баловень наболтал вам от нечего делать, а вы ему поверили!","Удивительный осел этот граф! Пишет мне, что уезжает на днях в Италию, а не дает никаких распоряжений относительно вас. Куда мне вас девать? Водку вами закусывать, что ли? И на чертей ему дался этот уголь! Уголь ему нужен так же, как мне ваша физиономия, черт его возьми! И вы тоже хороши, нечего сказать! Глупый, объевшийся баловень наболтал вам от нечего делать, а вы ему поверили!",65
0,joy,joy,1,"Клюет! <i>— шептал Пеплов, дрожа от нетерпения и потирая руки. — </i>Смотри же, Петровна, как только заговорят о чувствах, тотчас же снимай со стены образ и идем благословлять... Накроем... Благословение образом свято и ненарушимо... Не отвертится тогда, пусть хоть в суд подает.","Клюет! Смотри же, Петровна, как только заговорят о чувствах, тотчас же снимай со стены образ и идем благословлять... Накроем... Благословение образом свято и ненарушимо... Не отвертится тогда, пусть хоть в суд подает.",32
78,disgust,disgust,1,Второй пункт: ненавижу клубничку и клубничников. И особенно клубничников!,Второй пункт: ненавижу клубничку и клубничников. И особенно клубничников!,9
469,joy,joy,1,Расчухали наконец! <i>— радуется и жена.</i>,Расчухали наконец! ,2
328,fear,fear,1,Лестницу! Лестницу несите! <i>— обратился Слёткин к прочим крестьянам.</i>,Лестницу! Лестницу несите! ,3
1463,fear,fear,1,"Страшно! <i>— продолжал он между тем, — </i>не за них страшно (les pauvres, elles ont l’air si content en debitant leurs mesquineries, qu’il serait inutile de les plaindre!), но за женщину!","Страшно! не за них страшно (les pauvres, elles ont l’air si content en debitant leurs mesquineries, qu’il serait inutile de les plaindre!), но за женщину!",25
3864,anger,anger,1,И я то же говорю! <i>— прокричал вдруг мальчик Смуров.</i>,И я то же говорю! ,5
2356,neutral,neutral,1,Пулярка — это правильнее.,Пулярка — это правильнее.,4
5179,fear,fear,1,"Бабушке? зачем! <i>— едва выговорил он от страха. — </i>Подумай, какие последствия... Что будет с ней?.. Не лучше ли скрыть все?","Бабушке? зачем! Подумай, какие последствия... Что будет с ней?.. Не лучше ли скрыть все?",14
315,anger,anger,1,"Я вас попрошу никогда не делать мне подобных предложений, <i>— рванул я вдруг.</i>","Я вас попрошу никогда не делать мне подобных предложений, ",9
5493,neutral,neutral,1,"Другие все уже вотировали этот вопрос в экстренном заседании, <i>— отвечал Белоярцев и, изменив тон в еще более ласковый, благодарил Лизу за ее внимание к его просьбе.</i>","Другие все уже вотировали этот вопрос в экстренном заседании, ",9
244,joy,joy,1,"Здесь хорошо, <i>— сказала бабушка, озираясь, — </i>тепло и деревья богатые. Это я люблю! Наши дома? Генерал?","Здесь хорошо, тепло и деревья богатые. Это я люблю! Наши дома? Генерал?",12
899,surprise: positive,joy,1,"Ты не в постели? Вот чудо! <i>— сказала она, скинула башлык и, не останавливаясь, пошла дальше, в уборную. — </i>Пора, Алексей Александрович, — проговорила она из-за двери.","Ты не в постели? Вот чудо! Пора, Алексей Александрович, — проговорила она из-за двери.",14
771,neutral,neutral,1,"Когда стара буду и дурна, я сделаюсь такая же, <i>— говорила Бетси, — </i>но для вас, для молодой, хорошенькой женщины, еще рано в эту богадельню.","Когда стара буду и дурна, я сделаюсь такая же, но для вас, для молодой, хорошенькой женщины, еще рано в эту богадельню.",21
962,neutral,neutral,1,"Да... ведь говорят... в Москве мастерские идут, <i>— заметила Данка.</i>","Да... ведь говорят... в Москве мастерские идут, ",7
85,anger,anger,1,Эй! воротить его! <i>— крикнул он.</i>,Эй! воротить его! ,3
95,anger,anger,1,"Извольте!.. Еще как и молюсь! И батюшке все говорила, и он все, все, все мне разъяснил, как это и называется, что блюд и что преблюдеяние, но все это ничего не значит! Встань, пожалуйста, на стул — задерни занавеской заступницу.","Извольте!.. Еще как и молюсь! И батюшке все говорила, и он все, все, все мне разъяснил, как это и называется, что блюд и что преблюдеяние, но все это ничего не значит! Встань, пожалуйста, на стул — задерни занавеской заступницу.",39
173,neutral,neutral,1,"Да, плакала... Мне Егоровна сказала, и глаза у ней такие красные, так они и распухли...","Да, плакала... Мне Егоровна сказала, и глаза у ней такие красные, так они и распухли...",15
50,neutral,neutral,1,"Мосье Енот, <i>— обратился я к доктору, — </i>сколько у нас в уезде больниц?","Мосье Енот, сколько у нас в уезде больниц?",8
21,neutral,neutral,1,"Погоди, может быть, и уснем.","Погоди, может быть, и уснем.",5
1991,neutral,neutral,1,"Это еще не доказательство сумасшествия. Помните, что и того, у кого у первого родилась идея о силе пара, тоже посадили за нее в сумасшедший дом, <i>— заметил Марк.</i>","Это еще не доказательство сумасшествия. Помните, что и того, у кого у первого родилась идея о силе пара, тоже посадили за нее в сумасшедший дом, ",25
2368,fear,fear,1,Что же мне тут делать? Что вы мне посоветуете? Не могу же я получать эти письма!,Что же мне тут делать? Что вы мне посоветуете? Не могу же я получать эти письма!,16
179,neutral,neutral,1,"Ну, а насчет приданого узнал?","Ну, а насчет приданого узнал?",5
29,joy,joy,1,"Именно оттого, что знаю вас, и приглашаю вас завтра, <i>— сказала смеясь девушка. — </i>Я вас совершенно знаю. Но, смотрите, приходите с условием; во-первых (только будьте добры, исполните, что я попрошу, — видите ли, я говорю откровенно), не влюбляйтесь в меня... Это нельзя, уверяю вас. На дружбу я готова, вот вам рука моя... А влюбиться нельзя, прошу вас!","Именно оттого, что знаю вас, и приглашаю вас завтра, Я вас совершенно знаю. Но, смотрите, приходите с условием; во-первых (только будьте добры, исполните, что я попрошу, — видите ли, я говорю откровенно), не влюбляйтесь в меня... Это нельзя, уверяю вас. На дружбу я готова, вот вам рука моя... А влюбиться нельзя, прошу вас!",53
232,neutral,neutral,1,"Что твоей милости, сударь?","Что твоей милости, сударь?",4
270,fear,fear,1,Да чем же я показал тебе это? <i>— с искренним испугом и удивлением спросил он.</i>,Да чем же я показал тебе это? ,7
3638,neutral,neutral,1,"Ну, это старая песня; я много слыхала про эти невмешательства и не очень их почитаю. Нет, вмешивайся; если кому желаешь добра, так вмешивайся. А он мне просто жалости достоин.","Ну, это старая песня; я много слыхала про эти невмешательства и не очень их почитаю. Нет, вмешивайся; если кому желаешь добра, так вмешивайся. А он мне просто жалости достоин.",29
261,neutral,neutral,1,"Твоя, твоя, Чепкуи, кобылица: садись, гони, на ней отдыхай.","Твоя, твоя, Чепкуи, кобылица: садись, гони, на ней отдыхай.",9
0,fear,fear,1," Антонио, куда ты меня везешь? <i>— простонал Теодор. — </i>Ты смотришь злым гением... В твоих черных глазах светится ад... Я начинаю бояться..."," Антонио, куда ты меня везешь? Ты смотришь злым гением... В твоих черных глазах светится ад... Я начинаю бояться...",18
901,fear,fear,1,Да что ж такое? Ну что ж с нами сделается?,Да что ж такое? Ну что ж с нами сделается?,10
1520,surprise: negative,surprise,1,Господи! Да неужели он и тут не оставит Дунечку в покое? <i>— вскрикнула Пульхерия Александровна.</i>,Господи! Да неужели он и тут не оставит Дунечку в покое? ,11
5141,joy,joy,1,"С удовольствием, все, что могу...","С удовольствием, все, что могу...",5
61,disgust,disgust,1,"Отнести ее вон, <i>— проговорила изменившимся голосом старуха. — </i>Скверная собачонка! какая она злая!","Отнести ее вон, Скверная собачонка! какая она злая!",8
2296,neutral,neutral,1,"Может быть, это к лучшему. Вы мне должны простить многое. Я должен сказать вам...","Может быть, это к лучшему. Вы мне должны простить многое. Я должен сказать вам...",14
688,joy,joy,1,"Право, ты такая красавица!","Право, ты такая красавица!",4
1066,surprise: positive,joy,1,Вы! какими судьбами?,Вы! какими судьбами?,3
504,neutral,neutral,1,"Что правда, то правда, вы никого не обманываете.","Что правда, то правда, вы никого не обманываете.",8
491,neutral,neutral,1,"Позвольте узнать, кто здесь господин Ноздрев? <i>— сказал незнакомец, посмотревши в некотором недоумении на Ноздрева, который стоял с чубуком в руке, и на Чичикова, который едва начинал оправляться от своего невыгодного положения.</i>","Позвольте узнать, кто здесь господин Ноздрев? ",6
230,neutral,neutral,1,"Ну да, конечно, весь интерес в ней соединился. Все дело в наследстве! Объявится наследство, и генерал женится; мисс Полина будет тоже развязана, а Де-Грие...","Ну да, конечно, весь интерес в ней соединился. Все дело в наследстве! Объявится наследство, и генерал женится; мисс Полина будет тоже развязана, а Де-Грие...",24
3682,neutral,neutral,1,"Да, я чувствую сегодня и вчера сильные боли в ногах и ночью мало спал...","Да, я чувствую сегодня и вчера сильные боли в ногах и ночью мало спал...",14
829,neutral,neutral,1,"Да; еще и любит; а он одно что знает, — все про свободу ей!","Да; еще и любит; а он одно что знает, — все про свободу ей!",14
881,fear,fear,1,"Послушайте, князь, успокойтесь, пожалуйста; я вижу, что вы чем дальше, тем больше в волнении, а между тем все это, может быть, лишь мираж. О, я затянулся и сам, непростительно, подло; но ведь я знаю, что это только временное... и только бы мне отыграть известную цифру, и тогда скажите, я вам должен с этими тремя стами до двух тысяч пятисот, так ли?","Послушайте, князь, успокойтесь, пожалуйста; я вижу, что вы чем дальше, тем больше в волнении, а между тем все это, может быть, лишь мираж. О, я затянулся и сам, непростительно, подло; но ведь я знаю, что это только временное... и только бы мне отыграть известную цифру, и тогда скажите, я вам должен с этими тремя стами до двух тысяч пятисот, так ли?",61
364,disgust,disgust,1,А такое слово... вор!!,А такое слово... вор!!,4
566,neutral,neutral,1,"И тогда у нас отнимут и то, что мы в настоящее время имеем.","И тогда у нас отнимут и то, что мы в настоящее время имеем.",13
510,neutral,neutral,1,"Нет, <i>— отвечал сонный Ермошка. — </i>Я так глаза заплющил, да голову поклал, да и сидел.","Нет, Я так глаза заплющил, да голову поклал, да и сидел.",11
2694,anger,anger,1,"Да не ходите, <i>— проговорил сердито больной, — </i>я сам...","Да не ходите, я сам...",5
225,neutral,neutral,1,"Ну, еще одну карточку.","Ну, еще одну карточку.",4
1025,neutral,neutral,1,А давеча Михею Андреичу какие деньги отдавали? <i>— напомнил Захар.</i>,А давеча Михею Андреичу какие деньги отдавали? ,7
3265,neutral,neutral,1,"Я напоила ее теплым и завтра не пущу гулять, а там посмотрим! <i>— отвечала она монотонно.</i>","Я напоила ее теплым и завтра не пущу гулять, а там посмотрим! ",12
1755,neutral,neutral,1,"Нет, ваше благородие, нам в мнениях наших начальников произойти невозможно... Да хоша бы я и могла знать, так, значит, никакой для себя пользы из этого не угадала, почему как ваше благородие сами видели, в каких меня делах застали.","Нет, ваше благородие, нам в мнениях наших начальников произойти невозможно... Да хоша бы я и могла знать, так, значит, никакой для себя пользы из этого не угадала, почему как ваше благородие сами видели, в каких меня делах застали.",38
792,neutral,neutral,1,Да мы и то крошечку... об Шнейдерше чуть-чуть вспомнили!,Да мы и то крошечку... об Шнейдерше чуть-чуть вспомнили!,9
1149,neutral,neutral,1,Не хочу больше. Тимохин тут? <i>— спросил он. Тимохин подполз к нему по лавке.</i>,Не хочу больше. Тимохин тут? ,5
68,neutral,neutral,1,"Да, письменно. Кстати, я вас попрошу изложить мне также свои соображения...насчет...насчет ассоциаций.","Да, письменно. Кстати, я вас попрошу изложить мне также свои соображения...насчет...насчет ассоциаций.",12
1693,anger,anger,1,Да где же он?,Да где же он?,4
2701,neutral,neutral,1,"Да ведь вот то-то и есть несчастье Польши, что она России не знает и не понимает.","Да ведь вот то-то и есть несчастье Польши, что она России не знает и не понимает.",16
22,neutral,neutral,1,"Сейчас. Нашел было портфель, да опять потерял.","Сейчас. Нашел было портфель, да опять потерял.",7
1,neutral,neutral,1,"Больше я нынче этими штрафами на них действую! <i>— говорит помещик соседям своим, — </i>потому что для них это понятнее.",Больше я нынче этими штрафами на них действую! потому что для них это понятнее.,14
160,neutral,neutral,1,"Да не я, князь, <i>— улыбаясь, сказал Полторацкий, — </i>сами лезли.","Да не я, князь, сами лезли.",6
133,joy,joy,1,"Что за прелесть, этот папа! <i>— проговорила она, целуя его, и она опять взглянула на Пьера с тем бессознательным кокетством, которое вернулось к ней вместе с ее оживлением.</i>","Что за прелесть, этот папа! ",5
141,fear,fear,1,"Еще неизвестно, как губернское начальство посмотрит! <i>— благоразумно увещевал стряпчий, — </i>с следующей же почтой запросца надо ожидать-с!","Еще неизвестно, как губернское начальство посмотрит! с следующей же почтой запросца надо ожидать-с!",13
486,neutral,neutral,1,А ты с фактами обращаться умеешь?,А ты с фактами обращаться умеешь?,6
4990,neutral,neutral,1,"Я в самом деле нашел, что это справедливо и что у такой женщины, как Лара, любви надо добиваться. Но чтобы добиваться ее, значит жертвовать своими убеждениями, свободой мысли, свободой отношений к честным людям, а я этим жертвовать не могу, потому что тогда во мне не осталось бы ничего.","Я в самом деле нашел, что это справедливо и что у такой женщины, как Лара, любви надо добиваться. Но чтобы добиваться ее, значит жертвовать своими убеждениями, свободой мысли, свободой отношений к честным людям, а я этим жертвовать не могу, потому что тогда во мне не осталось бы ничего.",48
305,anger,anger,1,Пошел! <i>— злобно крикнул кучеру Иван Федорович.</i>,Пошел! ,1
311,sadness,sadness,1,"Выпьем! выпьем, брат, потому что уж такая мне вышла линия! Нет, Петя, мне счастья! счастье-то мое, видно, еще в ту пору, как я младенцем был, собаки съели!","Выпьем! выпьем, брат, потому что уж такая мне вышла линия! Нет, Петя, мне счастья! счастье-то мое, видно, еще в ту пору, как я младенцем был, собаки съели!",27
470,fear,fear,1,"О, какой вздор! Не говорите этого, пожалуйста! <i>— сказала она, поспешно перебивая меня и вся вспыхнув.</i>","О, какой вздор! Не говорите этого, пожалуйста! ",7
218,neutral,neutral,1,"На Курильских островах и церкви нет, <i>— заметил докладывающий.</i>","На Курильских островах и церкви нет, ",6
102,neutral,neutral,1,"Ну, говорю, неведомо, много ли дали бы. Может, и трехрублевый бы дали, Емельян Ильич.","Ну, говорю, неведомо, много ли дали бы. Может, и трехрублевый бы дали, Емельян Ильич.",14
1066,neutral,neutral,1,"Это вряд ли в наше время возможно, <i>— тоже без всякой иронии отозвался Николай Всеволодович, медленно и как бы задумчиво. — </i>В Апокалипсисе ангел клянется, что времени больше не будет.","Это вряд ли в наше время возможно, В Апокалипсисе ангел клянется, что времени больше не будет.",16
100,neutral,neutral,1,Это видно из подписных листов.,Это видно из подписных листов.,5
506,surprise: negative,surprise,1,"Что вы, граф!.. помилуйте... Вот никогда этого от вас не ожидала.","Что вы, граф!.. помилуйте... Вот никогда этого от вас не ожидала.",11
301,joy,joy,1,"Кунак Воронцов пешкеш, <i>— сказал он, улыбаясь. — </i>Хороший человек.","Кунак Воронцов пешкеш, Хороший человек.",5
2703,surprise: neutral,surprise,1,"Неужели ты думаешь, что он может выздороветь? <i>— сказал Левин, глядя на постоянно закрывавшийся, как только она вперед проводила гребень, узкий ряд назади ее круглой головки.</i>","Неужели ты думаешь, что он может выздороветь? ",7
253,neutral,neutral,1,"Да-с, и в Петербурге служил.","Да-с, и в Петербурге служил.",5
4015,guilt,sadness,1,"Ах, нет! Ну, прости, прости меня, если я огорчил тебя, <i>— сконфуженно улыбаясь, заговорил Степан Аркадьич, протягивая руку, — </i>но я все-таки, как посол, только передавал свое поручение.","Ах, нет! Ну, прости, прости меня, если я огорчил тебя, но я все-таки, как посол, только передавал свое поручение.",19
2268,neutral,neutral,1,"Нет, я все вижу, я все вижу. Я прежде для тебя не была глупа.","Нет, я все вижу, я все вижу. Я прежде для тебя не была глупа.",14
2623,disgust,disgust,1,"Это винт! <i>— кричал генерал: — </i>он сверлит мою душу и сердце! Он хочет, чтоб я атеизму поверил! Знай, молокосос, что еще ты не родился, а я уже был осыпан почестями; а ты только завистливый червь, перерванный надвое, с кашлем... и умирающий от злобы и от неверия... И зачем тебя Гаврила перевел сюда? Все на меня, от чужих до родного сына!","Это винт! он сверлит мою душу и сердце! Он хочет, чтоб я атеизму поверил! Знай, молокосос, что еще ты не родился, а я уже был осыпан почестями; а ты только завистливый червь, перерванный надвое, с кашлем... и умирающий от злобы и от неверия... И зачем тебя Гаврила перевел сюда? Все на меня, от чужих до родного сына!",57
120,surprise: negative,surprise,1,Как так — ненастоящий?,Как так — ненастоящий?,4
2374,fear,fear,1,"Пойдемте поскорее, <i>— прошептал ей Свидригайлов. — </i>Я не желаю, чтобы Родион Романыч знал о нашем свидании. Предупреждаю вас, что я с ним сидел тут недалеко, в трактире, где он отыскал меня сам, и насилу от него отвязался. Он знает почему-то о моем к вам письме и что-то подозревает. Уж, конечно, не вы ему открыли? А если не вы, так кто же?","Пойдемте поскорее, Я не желаю, чтобы Родион Романыч знал о нашем свидании. Предупреждаю вас, что я с ним сидел тут недалеко, в трактире, где он отыскал меня сам, и насилу от него отвязался. Он знает почему-то о моем к вам письме и что-то подозревает. Уж, конечно, не вы ему открыли? А если не вы, так кто же?",57
2377,neutral,neutral,1,"Позвольте спросить, <i>— проговорил наконец прокурор, — </i>не объявляли ли вы хоть кому-нибудь об этом обстоятельстве прежде... то есть что полторы эти тысячи оставили тогда же, месяц назад, при себе?","Позвольте спросить, не объявляли ли вы хоть кому-нибудь об этом обстоятельстве прежде... то есть что полторы эти тысячи оставили тогда же, месяц назад, при себе?",25
5234,fear,fear,1,"Большое, Иван Иванович, я умру!","Большое, Иван Иванович, я умру!",5
